索引ページ,列,行,用語,掲載ページ,要確認の理由,読み取り候補1,読み取り候補2
940,1,49,インタプリタ方式,"356,686",用語の読み取り候補が不一致,方式,インタプリタ方式
940,1,50,インタラブト転送,262,用語の読み取り候補が不一致,送,インタラブト転送
940,1,53,インフラストラクチャ通信モード,"512,513",用語の読み取り候補が不一致,通,インフラストラクチャ通信モード
940,1,56,ウイルス感染時の対処,636,用語の読み取り候補が不一致,感染時の对,ウイルス感染時の対処
940,1,57,ウイルス対策ソフト,634,用語の読み取り候補が不一致,对策,ウイルス対策ソフト
940,2,1,ウイルスの予防,636,用語の読み取り候補が不一致,防,ウイルスの予防
940,2,5,請負 Seen ene e ne ene ene en,883,補完した行を要確認,,請負 Seen ene e ne ene ene en 
940,2,7,打切照差,47,ページ認識の確度 / 用語の読み取り候補が不一致,打切照差,MORE
940,2,10,液晶ディスプレイ,271,用語の読み取り候補が不一致,液,液晶ディスプレイ
940,2,13,枝,393,用語が欠落または短い,枝,UTU
940,2,14,工,"87,88",用語が欠落または短い,工,
940,2,15,,357,用語が欠落または短い / 用語認識の確度,,
940,2,17,,865,用語が欠落または短い / 用語認識の確度,,
940,2,18,,609,用語が欠落または短い / ページ認識の確度 / 用語認識の確度,,
940,2,19,,"99,101",用語が欠落または短い / 用語認識の確度,,
940,2,20,才一附路,89,ページ認識の確度,才一附路,
940,2,22,用,281,用語が欠落または短い,用,
940,2,24,,106,用語が欠落または短い / 用語認識の確度,,
940,2,26,法,409,用語が欠落または短い,法,
940,2,27,指,727,用語が欠落または短い,指,
940,2,28,,737,用語が欠落または短い / 用語認識の確度,,
940,2,29,,175,用語が欠落または短い / 用語認識の確度,,
940,2,30,,"278,280",用語が欠落または短い / 用語認識の確度,,
940,2,31,重,"26,92",用語が欠落または短い,重,
940,2,32,重付,92,ページ認識の確度,重付,
940,2,33,親,393,用語が欠落または短い / 用語認識の確度,親,
940,2,36,理,761,用語が欠落または短い,理,
940,2,37,,871,用語が欠落または短い / 用語認識の確度,,
940,2,40,改h,"626,651",用語認識の確度,改h,
940,2,41,開始記号,113,ページ認識の確度,開始記号,
940,2,42,踏乘,"6,8",ページ認識の確度 / 用語認識の確度,踏乘,
940,2,44,陆磨型,432,用語認識の確度,陆磨型,
940,2,47,開,676,用語が欠落または短い / 用語認識の確度,開,
940,2,51,外部結,725,ページ認識の確度,外部結,
941,1,2,外部変数,368,用語の読み取り候補が不一致,外部变数,外部変数
941,1,6,可監査性,830,用語の読み取り候補が不一致,可监查性,可監査性
941,1,7,键,653,用語が欠落または短い / 用語の読み取り候補が不一致,键,esseeaeesee
941,1,9,各アルゴリズムのオーダ,423,用語の読み取り候補が不一致,の,各アルゴリズムのオーダ
941,1,10,隔離性,488,用語の読み取り候補が不一致,隔離性,Pamaitt
941,1,13,確率変数,77,ページ認識の確度 / 用語の読み取り候補が不一致,確率变数,確率変数
941,1,15,仮想記憶,330,用語の読み取り候補が不一致,饭想記憶,仮想記憶
941,1,16,仮想記憶管理,330,用語の読み取り候補が不一致,饭想配憶管理,仮想記憶管理
941,1,18,加速度センサ,161,ページ認識の確度,加速度,加速度センサ
941,1,20,人金のなる木,877,用語の読み取り候補が不一致,金木,人金のなる木
941,1,22,カブセル化,728,用語の読み取り候補が不一致,化,カブセル化
941,1,23,可変区画方式eeveed,319,用語の読み取り候補が不一致,可区画方式,可変区画方式eeveed
941,1,25,画面設計時の留,709,用語の読み取り候補が不一致,画面股計時の留意点,画面設計時の留
941,1,30,カルノー図法,58,ページ認識の確度,力一法,カルノー図法
941,1,31,関係演算,43,用語の読み取り候補が不一致,開保演算,関係演算
941,1,32,閃係型,432,用語の読み取り候補が不一致,閃係型,BSGRReTUTT
941,1,35,監査証拠,"829,83",用語の読み取り候補が不一致,监查证,監査証拠
941,1,37,監査調書|,829,用語の読み取り候補が不一致,监查调書,監査調書|
941,1,38,監査手続書,82,用語の読み取り候補が不一致,监查手書,監査手続書
941,1,40,监查教告書,829,用語の読み取り候補が不一致,监查教告書,EARSmm
941,1,42,関数従馬人,453,用語の読み取り候補が不一致,关数属,関数従馬人
941,1,43,関数を使って集計を行う,46,用語の読み取り候補が不一致,开数使集計行,関数を使って集計を行う
941,1,44,間接指定方式,180,用語の読み取り候補が不一致,間接指定方式,REPKLABEDS
941,1,45,全2分木,394,用語の読み取り候補が不一致,完全2分木,全2分木
941,1,49,かんばん方式,"918,924",用語の読み取り候補が不一致,方式,かんばん方式
941,1,50,管理基準,82,用語の読み取り候補が不一致,管理基,管理基準
941,1,54,記億階層.TTYRTPFTT,21,用語の読み取り候補が不一致,記憶落唇,記億階層.TTYRTPFTT
941,1,55,記憶容量,230,用語の読み取り候補が不一致,配憶容量,記憶容量
941,1,57,機械学習,601,用語の読み取り候補が不一致,機械学习,機械学習
941,1,59,機械チェック割込み,304,用語の読み取り候補が不一致,機械于工割,機械チェック割込み
941,2,1,後器の制御方式,162,用語の読み取り候補が不一致,機器の制御方式,後器の制御方式
941,2,2,企莱治,"856,899",用語の読み取り候補が不一致,企莱治,RRReonscesevasecces:sss
941,2,5,技衔革新,862,用語の読み取り候補が不一致,技衔革新,RRTTYTTTTT
941,2,6,技術经营,862,用語の読み取り候補が不一致,技術经营,RASeo
941,2,7,技術経営修士,862,用語の読み取り候補が不一致,技術经营修士,技術経営修士
941,2,8,Be Shy Ane ene enene een,25,補完した行を要確認,,Be Shy Ane ene enene een 
941,2,10,基数変換,"27,28",用語の読み取り候補が不一致,基数变换,基数変換
941,2,11,期待恒,7,ページ認識の確度,期待值,期待恒
941,2,12,基底,731,用語の読み取り候補が不一致,基底,BRISAmov
941,2,13,機能的强度,724,用語の読み取り候補が不一致,機能的强度,PAECISRA
941,2,19,基本計画ト。。<ec>mmm,684,用語の読み取り候補が不一致,基本計画,基本計画ト。。<ec>mmm
941,2,20,基本交換法,"414,415",用語の読み取り候補が不一致,基本交换法,基本交換法
941,2,21,基本選択法,"414,416",用語の読み取り候補が不一致,基本遥法,基本選択法
941,2,24,逆コンバイル,696,用語の読み取り候補が不一致,逆,逆コンバイル
941,2,25,逆ポボーランド記法,388,用語の読み取り候補が不一致,逆术法,逆ポボーランド記法
941,2,26,キャッシュ,214,ページ認識の確度,,キャッシュ
941,2,28,キャッシュメモリの割り当て方式,220,ページ認識の確度 / 用語の読み取り候補が不一致,の割当方式,キャッシュメモリの割り当て方式
941,2,29,ギャップ分析,865,用語の読み取り候補が不一致,分析,ギャップ分析
941,2,30,キャパシティ管理,821,用語の読み取り候補が不一致,管理,キャパシティ管理
941,2,33,臀威,876,用語の読み取り候補が不一致,臀威,RLevens
941,2,34,境界値分析,747,用語の読み取り候補が不一致,境界值分析,境界値分析
941,2,35,強化学習,601,用語の読み取り候補が不一致,强化学習,強化学習
941,2,36,狭義のウイルス,632,用語の読み取り候補が不一致,狭,狭義のウイルス
941,2,39,慈争地位略,879,用語の読み取り候補が不一致,慈争地位略,APHELErrrere
941,2,40,共通键暗号方式,653,用語の読み取り候補が不一致,共通键暗号方式,RBRSSHXme
941,2,42,共通結合,725,用語の読み取り候補が不一致,共通结合,共通結合
941,2,44,共通フレーム2013のプロセス体系,617,用語の読み取り候補が不一致,共通201,共通フレーム2013のプロセス体系
941,2,47,行の挿入,479,用語の読み取り候補が不一致,行の入,行の挿入
941,2,48,業務運用規約,870,用語の読み取り候補が不一致,業務通用规约,業務運用規約
941,2,49,業務改善,836,用語の読み取り候補が不一致,業改善,業務改善
941,2,50,楽務处理统制,827,用語の読み取り候補が不一致,楽務处理统制,PEMBRA
941,2,51,業務のモデル,669,用語の読み取り候補が不一致,化,業務のモデル
941,2,55,局所変数,368,用語の読み取り候補が不一致,局所变数,局所変数
941,2,58,空間的局所性,217,用語の読み取り候補が不一致,空間的局所性,oecnen
942,1,1,偶凳故障期間,790,用語の読み取り候補が不一致,偶凳故障期間,BFEaRHARY
942,1,5,組込みシステム,160,ページ認識の確度,,組込みシステム
942,1,8,クラス,730,ページ認識の確度,,クラス
942,1,10,クラスタ,231,ページ認識の確度,,クラスタ
942,1,14,クラスの階歴構造,731,用語の読み取り候補が不一致,の構造,クラスの階歴構造
942,1,17,グラフのデータ構造.FT,90,用語の読み取り候補が不一致,造,グラフのデータ構造.FT
942,1,18,グラフ理論,87,用語の読み取り候補が不一致,理,グラフ理論
942,1,20,绿返L精造,"365,375",用語の読み取り候補が不一致,绿返L精造,iBLMSesse
942,1,24,较,468,用語が欠落または短い,较,esse
942,1,26,グローバルIPア,550,用語の読み取り候補が不一致,夕,グローバルIPア
942,1,30,クロックサイクル時間,189,用語の読み取り候補が不一致,時間,クロックサイクル時間
942,1,31,クロック周波数,"187,188",用語の読み取り候補が不一致,周波数,クロック周波数
942,1,32,経営学修士,862,用語の読み取り候補が不一致,经营学修士,経営学修士
942,1,33,経営戦略,875,用語の読み取り候補が不一致,经营略,経営戦略
942,1,34,形式言語,112,ページ認識の確度,形式言語,形式言語
942,1,35,形式言語の定義,115,用語の読み取り候補が不一致,形式語の定義,形式言語の定義
942,1,38,"継続的インテグレーションeonensen,",695,用語の読み取り候補が不一致,继的,"継続的インテグレーションeonensen,"
942,1,39,系続図法,847,用語の読み取り候補が不一致,系统法,系続図法
942,1,41,経路選択,530,用語の読み取り候補が不一致,释路選职,経路選択
942,1,45,不器差,46,用語の読み取り候補が不一致,不器差,SEBANNRRdaversa
942,1,47,"桁の重みwocene,",26,用語の読み取り候補が不一致,桁の重,"桁の重みwocene,"
942,1,48,けた別コード,718,用語の読み取り候補が不一致,别,けた別コード
942,1,49,"結合ieecscocen,","437,464",用語の読み取り候補が不一致,结合,"結合ieecscocen,"
942,1,52,限界値分析,747,用語の読み取り候補が不一致,限界值分析,限界値分析
942,1,53,减伍优却,916,用語の読み取り候補が不一致,减伍优却,ADRTUTTI
942,1,58,证,656,用語が欠落または短い / 用語の読み取り候補が不一致,证,RERee
942,1,59,子,393,用語が欠落または短い,子,
942,2,1,コアコンビタンス,878,ページ認識の確度,,コアコンビタンス
942,2,2,広域イーサネット,"506,662",用語の読み取り候補が不一致,域,広域イーサネット
942,2,6,交換方式,505,用語の読み取り候補が不一致,交换方式,交換方式
942,2,7,後行顺,400,用語の読み取り候補が不一致,後行顺,BTRmeewarps:
942,2,8,氏彩認証,621,用語の読み取り候補が不一致,虹彩懿证,氏彩認証
942,2,10,更新後ジャーナル,"493,496",用語の読み取り候補が不一致,更新後,更新後ジャーナル
942,2,12,機造化設計,721,用語の読み取り候補が不一致,造化设計,機造化設計
942,2,13,楼造,737,用語の読み取り候補が不一致,楼造,isQPTre
942,2,14,杨造八一,196,用語の読み取り候補が不一致,杨造八一,i/VF—
942,2,16,BREaeこさ,891,用語の読み取り候補が不一致,公表,BREaeこさ
942,2,17,楊文解析,"115,360",用語の読み取り候補が不一致,楊文解析,HSB
942,2,18,候十一,445,ページ認識の確度,候十一,Ce
942,2,19,コード生成ananp:,360,用語の読み取り候補が不一致,生成,コード生成ananp:
942,2,26,颜客生涯值,880,用語の読み取り候補が不一致,颜客生涯值,MELEHwFT
942,2,27,駅客満足度,875,用語の読み取り候補が不一致,酸客满足度,駅客満足度
942,2,28,客,880,用語が欠落または短い / 用語の読み取り候補が不一致,客,BSOTPUT4
942,2,29,差,45,用語が欠落または短い,差,Re
942,2,30,故障対策,756,用語の読み取り候補が不一致,故障对策,故障対策
942,2,33,固定資産,916,ページ認識の確度 / 用語の読み取り候補が不一致,固定資產,固定資産
942,2,34,定小数点数,"30,32",用語の読み取り候補が不一致,固定小数点数,定小数点数
942,2,35,固定费,911,ページ認識の確度,固定费,B
942,2,36,の争地位载路,879,用語の読み取り候補が不一致,の争地位载路,JhS—ORDPAATR
942,2,40,コミュニケーション管理,802,用語の読み取り候補が不一致,管理,コミュニケーション管理
942,2,42,コリジョン,609,ページ認識の確度,,コリジョン
942,2,43,コンソール制込み,304,用語の読み取り候補が不一致,制,コンソール制込み
942,2,44,コンテキスト切琶え,301,用語の読み取り候補が不一致,切替,コンテキスト切琶え
942,2,48,コンバイラ方式,"356,686",用語の読み取り候補が不一致,方式,コンバイラ方式
942,2,50,コンビュータウイルスの信威,631,用語の読み取り候補が不一致,威,コンビュータウイルスの信威
942,2,51,コンピュータウイルスの種類,632,用語の読み取り候補が不一致,種類,コンピュータウイルスの種類
942,2,52,コンビュータ制御,160,用語の読み取り候補が不一致,夕制,コンビュータ制御
942,2,53,コンピュータの回路,138,用語の読み取り候補が不一致,夕の回路,コンピュータの回路
943,1,1,差,43,用語が欠落または短い,差,TU
943,1,4,指,76,用語が欠落または短い,指,
943,1,8,サービスレベルアグ,81,用語の読み取り候補が不一致,X,サービスレベルアグ
943,1,9,サービスレベル管理,82,用語の読み取り候補が不一致,管理,サービスレベル管理
943,1,10,サービスレベル全意書,81,用語の読み取り候補が不一致,意,サービスレベル全意書
943,1,12,再帰アルゴリズム,42,用語の読み取り候補が不一致,再婦U,再帰アルゴリズム
943,1,13,再帰関数,42,用語の読み取り候補が不一致,再鼎关数,再帰関数
943,1,18,最高経営責任者,86,用語の読み取り候補が不一致,最高释营责任者,最高経営責任者
943,1,19,最高情報責任者,86,用語の読み取り候補が不一致,最高情報责任者,最高情報責任者
943,1,20,最高情報セキュリティ責任者,86,用語の読み取り候補が不一致,最高情報任者,最高情報セキュリティ責任者
943,1,22,最早結合点時刻,81,用語の読み取り候補が不一致,最早结合点時刻,最早結合点時刻
943,1,24,最運结合点時刻,81,ページ認識の確度 / 用語の読み取り候補が不一致,最運结合点時刻,MASSRGA
943,1,28,サイバーセキュリティ基本法,90,用語の読み取り候補が不一致,法,サイバーセキュリティ基本法
943,1,30,再配置可能ブログラム,32,用語の読み取り候補が不一致,再配可能,再配置可能ブログラム
943,1,31,財務指標,"926,93",用語の読み取り候補が不一致,财務指標,財務指標
943,1,32,財務諸表,"921,92",用語の読み取り候補が不一致,财務表,財務諸表
943,1,37,差分バックアップ,79,用語の読み取り候補が不一致,差分,差分バックアップ
943,1,38,産業財産権,68068,掲載ページの数字 / 用語の読み取り候補が不一致,產業财產椎,産業財産権
943,1,39,参照制约,44,用語の読み取り候補が不一致,参照制约,SMA
943,1,40,参照渡L,"370,37",用語の読み取り候補が不一致,参照渡L,SRL
943,1,44,シーケンス制御,16,用語の読み取り候補が不一致,制御,シーケンス制御
943,1,48,時開管理,80,用語の読み取り候補が不一致,時間管理,時開管理
943,1,49,時間的強度,72,用語の読み取り候補が不一致,时間的强度,時間的強度
943,1,51,磁気ディスク装置,22,用語の読み取り候補が不一致,磁装置,磁気ディスク装置
943,2,2,指揮命令系統,886,用語の読み取り候補が不一致,指操命合系,指揮命令系統
943,2,3,事業紙続計画,822,用語の読み取り候補が不一致,事業慈計画,事業紙続計画
943,2,5,事業部制組織,359,ページ認識の確度 / 用語の読み取り候補が不一致,事業部制组,事業部制組織
943,2,6,字句解析,"115,360",ページ認識の確度,字句解析,字句解析
943,2,7,シグネチャファイル,634,ページ認識の確度,,シグネチャファイル
943,2,8,シグマ,84,ページ認識の確度,,シグマ
943,2,9,目己資本利益率,"926,932",用語の読み取り候補が不一致,自己資本利益率,目己資本利益率
943,2,10,自己伝染機能,631,用語の読み取り候補が不一致,自己位染機能,自己伝染機能
943,2,11,事余,70,ページ認識の確度 / 用語の読み取り候補が不一致,事余,FRsevenccncances
943,2,13,システムLSIに,"156,157",用語の読み取り候補が不一致,LS,システムLSIに
943,2,14,システム開発,668,用語の読み取り候補が不一致,開,システム開発
943,2,15,システム化計画,670,用語の読み取り候補が不一致,化計画,システム化計画
943,2,16,システム監査,826,用語の読み取り候補が不一致,监查,システム監査
943,2,17,监查手顺,829,用語の読み取り候補が不一致,监查手顺,VATLEROFR
943,2,18,システム構成,756,用語の読み取り候補が不一致,成,システム構成
943,2,20,システムに必要なお金,791,用語の読み取り候補が不一致,要金,システムに必要なお金
943,2,21,の可监查性,830,用語の読み取り候補が不一致,の可监查性,YAFLOTEREcece
943,2,22,システムの性能指禁,768,ページ認識の確度 / 用語の読み取り候補が不一致,性能指標,システムの性能指禁
943,2,25,システムを止めない工夫,774,用語の読み取り候補が不一致,止夫,システムを止めない工夫
943,2,26,自然言語,112,用語の読み取り候補が不一致,自然言語,BASEPT
943,2,27,実記憶管理,317,用語の読み取り候補が不一致,实記憶管理,実記憶管理
943,2,29,実効アクセス時間…RT,219,用語の読み取り候補が不一致,時間,実効アクセス時間…RT
943,2,30,実行アドレス,178,用語の読み取り候補が不一致,寒行,実行アドレス
943,2,31,実行可能状態,296,用語の読み取り候補が不一致,实行可能状態,実行可能状態
943,2,32,実行状態,296,用語の読み取り候補が不一致,实行状慈,実行状態
943,2,33,实行速度,520,用語の読み取り候補が不一致,实行速度,RRLneces
943,2,36,実用新案権,892,用語の読み取り候補が不一致,实用新案,実用新案権
943,2,38,指標アドレス指定方式,181,用語の読み取り候補が不一致,指標指定方式,指標アドレス指定方式
943,2,39,指標レジスタ|,172,用語の読み取り候補が不一致,指,指標レジスタ|
943,2,42,氏名表示権,891,用語の読み取り候補が不一致,氏名表示,氏名表示権
943,2,46,ジャストインタイム生産方式,"918,924",用語の読み取り候補が不一致,生方式,ジャストインタイム生産方式
943,2,48,社内ベンチャー制組織,860,用語の読み取り候補が不一致,社内于制組,社内ベンチャー制組織
943,2,51,集合図数,466,用語の読み取り候補が不一致,集合阅数,集合図数
943,2,52,终端配号,113,ページ認識の確度 / 用語の読み取り候補が不一致,终端配号,BRSee
943,2,53,終端抵抗,260,ページ認識の確度 / 用語の読み取り候補が不一致,终端抵抗,終端抵抗
943,2,54,集中処理,"514,758",用語の読み取り候補が不一致,集中处理,集中処理
944,1,1,出向在約,"886,887",用語の読み取り候補が不一致,出向契約,出向在約
944,1,2,出力处理,723,ページ認識の確度 / 用語の読み取り候補が不一致,出力处理,LAME
944,1,4,シュリンクラップ契約,902,用語の読み取り候補が不一致,契约,シュリンクラップ契約
944,1,5,準委任契約,"886,887",用語の読み取り候補が不一致,举委任契,準委任契約
944,1,6,巡回助長查,"535,539",用語の読み取り候補が不一致,巡回助長查,WORRAR
944,1,7,循環小数,45,ページ認識の確度 / 用語の読み取り候補が不一致,循璟小数,循環小数
944,1,9,顺次造,"365,375",用語の読み取り候補が不一致,顺次造,RETTYTTTTUTTTYUTTUTUTTUTTUTUTLYUUTTTUTYTT
944,1,10,顺序回路,142,用語の読み取り候補が不一致,顺序回路,Graz
944,1,12,順列,74,ページ認識の確度,顺列,順列
944,1,15,条件付き確率,79,ページ認識の確度,条件付老確率,条件付き確率
944,1,16,条件網耀,748,用語の読み取り候補が不一致,条件網耀,Rr
944,1,17,条件を組み合わせて抽出する,461,用語の読み取り候補が不一致,条件组合抽出,条件を組み合わせて抽出する
944,1,19,状態マジン,737,用語の読み取り候補が不一致,状,状態マジン
944,1,20,申度センサ,161,ページ認識の確度,照度,申度センサ
944,1,22,商標,892,用語の読み取り候補が不一致,商標,BREmococcccansconcscccs
944,1,23,商品アイテムコ,269,用語の読み取り候補が不一致,商品,商品アイテムコ
944,1,24,情報隐蔽,728,用語の読み取り候補が不一致,情報隐蔽,{BRS
944,1,26,情報資産,606,用語の読み取り候補が不一致,情報資產,情報資産
944,1,27,情報セキュリティ,606,用語の読み取り候補が不一致,情報,情報セキュリティ
944,1,28,情報セキュリティ監想,826,用語の読み取り候補が不一致,情報查,情報セキュリティ監想
944,1,29,情報セキュリティの3要素,608,用語の読み取り候補が不一致,情の3要,情報セキュリティの3要素
944,1,30,情報セキュリティの7委素,609,用語の読み取り候補が不一致,情報要素,情報セキュリティの7委素
944,1,31,情報セキュリティ方針,610,用語の読み取り候補が不一致,情報方针,情報セキュリティ方針
944,1,32,情報セキュリティマネジメントシステム,607,用語の読み取り候補が不一致,情,情報セキュリティマネジメントシステム
944,1,34,情報控供依頼書,675,用語の読み取り候補が不一致,情報提供依赖書,情報控供依頼書
944,1,35,乗法定理,78,ページ認識の確度 / 用語の読み取り候補が不一致,乘法定理,乗法定理
944,1,36,情報的強度,724,用語の読み取り候補が不一致,情報的强度,情報的強度
944,1,37,情報に関する理論,96,ページ認識の確度,情報仁关寸各理,情報に関する理論
944,1,38,情報表現規約anene:,870,ページ認識の確度 / 用語の読み取り候補が不一致,情報表現规豹,情報表現規約anene:
944,1,39,情報量,98,ページ認識の確度,情報量,情報量
944,1,44,職能別組織,859,用語の読み取り候補が不一致,曦能别组藏,職能別組織
944,1,45,職務和著作,893,用語の読み取り候補が不一致,務著作,職務和著作
944,1,53,BenLbcweteaciesabedbonsconsピト,656,用語の読み取り候補が不一致,署名,BenLbcweteaciesabedbonsconsピト
944,1,54,処理時間順方式,301,用語の読み取り候補が不一致,处理时間顺方式,処理時間順方式
944,1,57,リアルバス,253,ページ認識の確度,,リアルバス
944,1,58,リアル方式外部バスインタフェース,262,用語の読み取り候補が不一致,方式外部,リアル方式外部バスインタフェース
944,2,5,人的資源管理,802,用語の読み取り候補が不一致,人的資源管理,ADRS
944,2,8,親和図法,"841,847",用語の読み取り候補が不一致,親和法,親和図法
944,2,9,"垂直バリティpenseese,",537,用語の読み取り候補が不一致,垂,"垂直バリティpenseese,"
944,2,11,水平垂U,537,用語の読み取り候補が不一致,水平垂U,KFRENUT+ences:
944,2,13,数值計算,64,用語の読み取り候補が不一致,数值計算,SANEwec
944,2,14,数值表现,30,用語の読み取り候補が不一致,数值表现,BRRCTCDTD
944,2,22,スケールアウト,764,用語の読み取り候補が不一致,一,スケールアウト
944,2,24,スケジュール管理,806,用語の読み取り候補が不一致,管理,スケジュール管理
944,2,25,スケジュール短縮,813,用語の読み取り候補が不一致,短缩,スケジュール短縮
944,2,26,スコープ管理,802,用語の読み取り候補が不一致,理,スコープ管理
944,2,37,ストライビング,240,ページ認識の確度,,ストライビング
944,2,44,スリーディプリンタ,276,用語の読み取り候補が不一致,U,スリーディプリンタ
944,2,49,正規表現,110,ページ認識の確度 / 用語の読み取り候補が不一致,正规表現,正規表現
944,2,50,正規分布,84,ページ認識の確度 / 用語の読み取り候補が不一致,正规分布,正規分布
944,2,51,制御結合,725,用語の読み取り候補が不一致,制御结合,制御結合
944,2,52,制御揚千,365,用語の読み取り候補が不一致,制御造,制御揚千
944,2,54,制御プログラム,282,用語の読み取り候補が不一致,制御,制御プログラム
945,1,1,生成規則,113,用語の読み取り候補が不一致,生成规则,生成規則
945,1,2,製造物責任法,006,用語の読み取り候補が不一致,裂造物賣任法,製造物責任法
945,1,4,生体康証,621,用語の読み取り候補が不一致,生体证,生体康証
945,1,5,静的变数,369,用語の読み取り候補が不一致,静的变数,OVERCOUT
945,1,9,整列アルゴリズム,418,用語の読み取り候補が不一致,整列U,整列アルゴリズム
945,1,11,集合,53,用語の読み取り候補が不一致,集合,ARSeecsaee
945,1,12,責任追跡性,609,用語の読み取り候補が不一致,责任追性,責任追跡性
945,1,13,積の法則1,"72,73",用語の読み取り候補が不一致,の法则,積の法則1
945,1,17,セキュリティ対策,640,用語の読み取り候補が不一致,对策,セキュリティ対策
945,1,22,節,393,用語が欠落または短い / 用語認識の確度,節,
945,1,24,接続形態,507,用語の読み取り候補が不一致,接形態,接続形態
945,1,25,折,750,用語が欠落または短い / 用語の読み取り候補が不一致,折,HRTAr
945,1,28,セットアソシアティブ方式,221,用語の読み取り候補が不一致,方式,セットアソシアティブ方式
945,1,31,セマフォ変数,310,用語の読み取り候補が不一致,数,セマフォ変数
945,1,33,セルリレー方式,506,用語の読み取り候補が不一致,方式,セルリレー方式
945,1,34,ゼロデイ攻撃,624,用語の読み取り候補が不一致,口攻,ゼロデイ攻撃
945,1,35,全加算器,"145,148",用語の読み取り候補が不一致,全加算器,SNHee
945,1,36,線形探索法,"403,404",用語の読み取り候補が不一致,粮形探索法,線形探索法
945,1,39,センサ,161,ページ認識の確度,,センサ
945,1,40,全数調査,83,用語の読み取り候補が不一致,全数调查,全数調査
945,1,45,選択ソート,416,ページ認識の確度,,選択ソート
945,1,47,全般統制,827,用語の読み取り候補が不一致,全般制,全般統制
945,1,49,専門能力,828,用語の読み取り候補が不一致,李門能力,専門能力
945,1,50,専用回線方式,505,用語の読み取り候補が不一致,专用回線方式,専用回線方式
945,1,53,総合テスト,745,用語の読み取り候補が不一致,合,総合テスト
945,1,54,相互作用概要図,737,用語の読み取り候補が不一致,相互作用概要网,相互作用概要図
945,1,55,相互作用図,737,用語の読み取り候補が不一致,相互作用网,相互作用図
945,1,56,走査順序,399,用語の読み取り候補が不一致,走查顺序,走査順序
945,1,57,崧資本利益率,"926,932",用語の読み取り候補が不一致,崧資本利益率,RAHAR
945,2,1,増分バックアップ,797,用語の読み取り候補が不一致,增,増分バックアップ
945,2,3,双方向リスト,385,ページ認識の確度,双方向卜,双方向リスト
945,2,4,相補演算,57,ページ認識の確度,相補演算,相補演算
945,2,6,ソーシャルエンジニアリング,623,用語の読み取り候補が不一致,y,ソーシャルエンジニアリング
945,2,7,ソースコードの共同所有,695,用語の読み取り候補が不一致,共同所有,ソースコードの共同所有
945,2,8,属性ee—,727,用語の読み取り候補が不一致,属性,属性ee—
945,2,9,即値アドレス指定方式,179,用語の読み取り候補が不一致,即值指定方式,即値アドレス指定方式
945,2,10,陈结合型,204,用語の読み取り候補が不一致,陈结合型,RSWee
945,2,11,疎結合マルチプロセッサ…essee,204,ページ認識の確度 / 用語の読み取り候補が不一致,結,疎結合マルチプロセッサ…essee
945,2,13,ソフトウェアによる自動化…concen,285,用語の読み取り候補が不一致,自,ソフトウェアによる自動化…concen
945,2,14,ソフトウェアの分類,281,用語の読み取り候補が不一致,分類,ソフトウェアの分類
945,2,16,損益計算書…eevee:,"924,930",用語の読み取り候補が不一致,损益汁算,損益計算書…eevee:
945,2,17,損益分岐点…somass,"912,914",用語の読み取り候補が不一致,损益分岐点,損益分岐点…somass
945,2,18,損益分岐点売上高,913,用語の読み取り候補が不一致,损益分岐点壳上高,損益分岐点売上高
945,2,19,ターミネータ,260,ページ認識の確度,夕一三一夕,ターミネータ
945,2,20,ターンアラウンドタイム,"768,770",用語の読み取り候補が不一致,夕,ターンアラウンドタイム
945,2,22,大域変数,368,ページ認識の確度 / 用語の読み取り候補が不一致,大域变数,大域変数
945,2,23,待機状態,296,ページ認識の確度 / 用語の読み取り候補が不一致,待機状慈,待機状態
945,2,25,退行テスト,751,ページ認識の確度,退行下,退行テスト
945,2,26,第3正規形,"450,455",用語の読み取り候補が不一致,第3正规形,第3正規形
945,2,27,貸借対照表,"922,928",用語の読み取り候補が不一致,貨借对照表,貸借対照表
945,2,28,对象集合,53,ページ認識の確度 / 用語の読み取り候補が不一致,对象集合,WRERSTTYTTTTTTTT
945,2,30,対数oooeeooeoeoSeeもSeもさららるるるSGも6もる6る,66,用語の読み取り候補が不一致,对数,対数oooeeooeoeoSeeもSeもさららるるるSGも6もる6る
945,2,32,第2正規形…oe,"450,454",用語の読み取り候補が不一致,第2正规形,第2正規形…oe
945,2,33,代表的な,284,ページ認識の確度,代表的,代表的な
945,2,34,代表的な言語ances:s,353,用語の読み取り候補が不一致,代表的言語,代表的な言語ances:s
945,2,35,タイマ割込み,305,用語の読み取り候補が不一致,割,タイマ割込み
945,2,39,耐用年数1esse,917,用語の読み取り候補が不一致,耐用年数,耐用年数1esse
945,2,42,ダイレクトマッピング方式,220,用語の読み取り候補が不一致,方式,ダイレクトマッピング方式
945,2,43,对话型处理,761,用語の読み取り候補が不一致,对话型处理,WWMw
945,2,45,多重区南方式,318,用語の読み取り候補が不一致,多重区面方式,多重区南方式
945,2,46,SHIOFSング,302,用語の読み取り候補が不一致,多,SHIOFSング
945,2,53,タスクの状態居移,296,用語の読み取り候補が不一致,の状悲移,タスクの状態居移
945,2,54,タスクの排他,308,用語の読み取り候補が不一致,排他,タスクの排他
945,2,56,タッチバネル,267,用語の読み取り候補が不一致,夕,タッチバネル
